factor,num_negative,topK,loss,HR,NDCG
8,1,1,0.4314,0.1127,0.1127
8,1,5,0.6936,0.3493,0.2275
8,1,10,3.5628,0.53,0.2844
8,5,1,2.1075,0.1235,0.1235
8,5,5,0.3445,0.33,0.2214
8,5,10,2.3902,0.5399,0.3043
8,10,1,3.4957,0.1156,0.1156
8,10,5,0.3646,0.3715,0.2462
8,10,10,1.5483,0.5553,0.312
16,1,1,0.4048,0.1255,0.1255
16,1,5,0.4621,0.3871,0.2523
16,1,10,0.409,0.5649,0.3168
16,5,1,1.9989,0.1381,0.1381
16,5,5,0.493,0.3957,0.265
16,5,10,0.6193,0.5805,0.3267
16,10,1,0.24,0.1354,0.1354
16,10,5,0.4105,0.3925,0.2617
16,10,10,0.2198,0.6031,0.3471
32,1,1,0.3978,0.1286,0.1286
32,1,5,0.4258,0.3959,0.2658
32,1,10,0.4009,0.5791,0.3235
32,5,1,4.3251,0.1374,0.1374
32,5,5,0.2996,0.4411,0.3045
32,5,10,1.101,0.5795,0.3283
32,10,1,0.2275,0.1432,0.1432
32,10,5,0.2273,0.4363,0.2961
32,10,10,0.3124,0.6146,0.3563
64,1,1,0.3945,0.13,0.13
64,1,5,0.3921,0.4232,0.2861
64,1,10,0.4077,0.5675,0.3177
64,5,1,0.3274,0.1613,0.1613
64,5,5,5.0453,0.4526,0.3085
64,5,10,0.3144,0.6328,0.3653
64,10,1,1.4157,0.1525,0.1525
64,10,5,0.2112,0.4407,0.2958
64,10,10,0.1959,0.6434,0.3711
