Running grid search 1/75: ([64, 32, 16, 8], [0, 0, 0, 0], 0)Parameters: ([64, 32, 16, 8], [0, 0, 0, 0], 0), Loss: 0.2820, HR: 0.6341, NDCG: 0.3683
Running grid search 2/75: ([64, 32, 16, 8], [0, 0, 0, 0], 0.01)Parameters: ([64, 32, 16, 8], [0, 0, 0, 0], 0.01), Loss: 2.8619, HR: 0.4469, NDCG: 0.2449
Running grid search 3/75: ([64, 32, 16, 8], [0, 0, 0, 0], 0.02)Parameters: ([64, 32, 16, 8], [0, 0, 0, 0], 0.02), Loss: 10.7977, HR: 0.4512, NDCG: 0.2475
Running grid search 4/75: ([64, 32, 16, 8], [0, 0, 0, 0], 0.1)Parameters: ([64, 32, 16, 8], [0, 0, 0, 0], 0.1), Loss: 2.6872, HR: 0.4467, NDCG: 0.2398
Running grid search 5/75: ([64, 32, 16, 8], [0, 0, 0, 0], 1)Parameters: ([64, 32, 16, 8], [0, 0, 0, 0], 1), Loss: 3.1674, HR: 0.4467, NDCG: 0.2450
Running grid search 6/75: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 0)Parameters: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 0), Loss: 0.2703, HR: 0.6474, NDCG: 0.3769
Running grid search 7/75: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 0.01)Parameters: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 0.01), Loss: 0.5004, HR: 0.4427, NDCG: 0.2455
Running grid search 8/75: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 0.02)Parameters: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 0.02), Loss: 0.5005, HR: 0.4442, NDCG: 0.2457
Running grid search 9/75: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 0.1)Parameters: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 0.1), Loss: 0.5006, HR: 0.4459, NDCG: 0.2425
Running grid search 10/75: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 1)Parameters: ([64, 32, 16, 8], [0.01, 0.01, 0.01, 0.01], 1), Loss: 0.5005, HR: 0.4272, NDCG: 0.2163
Running grid search 11/75: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 0)Parameters: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 0), Loss: 0.2721, HR: 0.6475, NDCG: 0.3768
Running grid search 12/75: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 0.01)Parameters: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 0.01), Loss: 0.5004, HR: 0.4371, NDCG: 0.2393
Running grid search 13/75: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 0.02)Parameters: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 0.02), Loss: 0.5010, HR: 0.4397, NDCG: 0.2400
Running grid search 14/75: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 0.1)Parameters: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 0.1), Loss: 0.5004, HR: 0.4245, NDCG: 0.2323
Running grid search 15/75: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 1)Parameters: ([64, 32, 16, 8], [0.02, 0.02, 0.02, 0.02], 1), Loss: 0.5005, HR: 0.4281, NDCG: 0.2260
