Init: HR = 0.2121, NDCG = 0.1452
Iteration 0 [1.9 s]: HR = 0.3305, NDCG = 0.1881, loss = 2.2095 [21.1 s]
Iteration 1 [0.7 s]: HR = 0.3509, NDCG = 0.1970, loss = 1.9098 [20.9 s]
Iteration 2 [0.7 s]: HR = 0.3587, NDCG = 0.2006, loss = 1.6743 [20.6 s]
Iteration 3 [0.7 s]: HR = 0.3482, NDCG = 0.1980, loss = 1.2759 [20.9 s]
Iteration 4 [0.8 s]: HR = 0.3367, NDCG = 0.1946, loss = 0.9108 [20.6 s]
Iteration 5 [0.7 s]: HR = 0.3413, NDCG = 0.1977, loss = 0.7740 [21.0 s]
Iteration 6 [0.7 s]: HR = 0.3471, NDCG = 0.2003, loss = 0.7399 [22.0 s]
Iteration 7 [0.8 s]: HR = 0.3467, NDCG = 0.2013, loss = 0.7224 [21.2 s]
Iteration 8 [0.7 s]: HR = 0.3455, NDCG = 0.2024, loss = 0.7123 [21.1 s]
Iteration 9 [0.7 s]: HR = 0.3347, NDCG = 0.1982, loss = 0.7278 [21.1 s]
Iteration 10 [0.7 s]: HR = 0.3448, NDCG = 0.2039, loss = 0.7096 [20.8 s]
Iteration 11 [0.7 s]: HR = 0.3571, NDCG = 0.2086, loss = 0.6919 [21.0 s]
Iteration 12 [0.7 s]: HR = 0.3617, NDCG = 0.2125, loss = 0.6850 [21.0 s]
Iteration 13 [0.7 s]: HR = 0.3641, NDCG = 0.2143, loss = 0.6814 [20.9 s]
Iteration 14 [0.7 s]: HR = 0.3614, NDCG = 0.2138, loss = 0.6718 [21.2 s]
Iteration 15 [0.7 s]: HR = 0.3637, NDCG = 0.2152, loss = 0.6619 [20.5 s]
Iteration 16 [0.7 s]: HR = 0.3679, NDCG = 0.2171, loss = 0.6560 [20.0 s]
Iteration 17 [0.7 s]: HR = 0.3714, NDCG = 0.2186, loss = 0.6523 [20.1 s]
Iteration 18 [0.7 s]: HR = 0.3749, NDCG = 0.2210, loss = 0.6491 [20.3 s]
Iteration 19 [0.6 s]: HR = 0.3776, NDCG = 0.2227, loss = 0.6461 [20.2 s]
Iteration 20 [0.7 s]: HR = 0.3776, NDCG = 0.2241, loss = 0.6421 [20.1 s]
Iteration 21 [0.7 s]: HR = 0.3749, NDCG = 0.2243, loss = 0.6394 [20.3 s]
Iteration 22 [0.7 s]: HR = 0.3795, NDCG = 0.2240, loss = 0.6379 [20.2 s]
Iteration 23 [0.7 s]: HR = 0.3799, NDCG = 0.2265, loss = 0.6396 [19.9 s]
Iteration 24 [0.7 s]: HR = 0.3783, NDCG = 0.2268, loss = 0.6343 [20.1 s]
Iteration 25 [0.7 s]: HR = 0.3803, NDCG = 0.2272, loss = 0.6285 [20.0 s]
Iteration 26 [0.7 s]: HR = 0.3833, NDCG = 0.2301, loss = 0.6266 [19.9 s]
Iteration 27 [0.7 s]: HR = 0.3791, NDCG = 0.2297, loss = 0.6278 [20.5 s]
Iteration 28 [0.7 s]: HR = 0.3806, NDCG = 0.2324, loss = 0.6251 [20.0 s]
Iteration 29 [0.7 s]: HR = 0.3880, NDCG = 0.2353, loss = 0.6183 [19.9 s]
Iteration 30 [0.7 s]: HR = 0.3845, NDCG = 0.2353, loss = 0.6185 [20.0 s]
Iteration 31 [0.7 s]: HR = 0.3841, NDCG = 0.2363, loss = 0.6189 [20.1 s]
Iteration 32 [0.7 s]: HR = 0.3895, NDCG = 0.2373, loss = 0.6282 [20.1 s]
Iteration 33 [0.7 s]: HR = 0.3860, NDCG = 0.2373, loss = 0.6128 [20.1 s]
Iteration 34 [0.7 s]: HR = 0.3922, NDCG = 0.2382, loss = 0.6134 [20.5 s]
Iteration 35 [0.7 s]: HR = 0.3903, NDCG = 0.2399, loss = 0.6085 [20.1 s]
Iteration 36 [0.7 s]: HR = 0.3938, NDCG = 0.2424, loss = 0.6045 [20.3 s]
Iteration 37 [0.7 s]: HR = 0.3930, NDCG = 0.2411, loss = 0.6052 [19.7 s]
Iteration 38 [0.7 s]: HR = 0.3995, NDCG = 0.2445, loss = 0.5981 [20.2 s]
Iteration 39 [0.7 s]: HR = 0.3988, NDCG = 0.2486, loss = 0.5963 [19.8 s]
Iteration 40 [0.7 s]: HR = 0.3984, NDCG = 0.2494, loss = 0.5903 [20.4 s]
Iteration 41 [0.7 s]: HR = 0.4015, NDCG = 0.2547, loss = 0.5852 [20.1 s]
Iteration 42 [0.7 s]: HR = 0.4034, NDCG = 0.2537, loss = 0.5811 [20.3 s]
Iteration 43 [0.7 s]: HR = 0.4099, NDCG = 0.2540, loss = 0.5794 [19.8 s]
Iteration 44 [0.7 s]: HR = 0.4003, NDCG = 0.2497, loss = 0.7438 [20.1 s]
Iteration 45 [0.7 s]: HR = 0.4007, NDCG = 0.2398, loss = 0.5913 [20.1 s]
Iteration 46 [0.7 s]: HR = 0.4065, NDCG = 0.2538, loss = 0.5828 [20.0 s]
Iteration 47 [0.7 s]: HR = 0.3884, NDCG = 0.2336, loss = 0.6147 [20.3 s]
Iteration 48 [0.7 s]: HR = 0.4099, NDCG = 0.2454, loss = 0.6319 [20.1 s]
Iteration 49 [0.7 s]: HR = 0.4073, NDCG = 0.2489, loss = 0.5721 [20.2 s]
End. Best Iteration 43:  HR = 0.4099, NDCG = 0.2540. 
