Init: HR = 0.0841, NDCG = 0.0386
Iteration 0 [3.5 s]: HR = 0.2179, NDCG = 0.1093, loss = 0.4287 [60.1 s]
Iteration 1 [1.0 s]: HR = 0.2622, NDCG = 0.1371, loss = 0.2977 [60.0 s]
Iteration 2 [1.4 s]: HR = 0.2954, NDCG = 0.1545, loss = 0.2930 [64.8 s]
Iteration 3 [1.4 s]: HR = 0.3124, NDCG = 0.1651, loss = 0.2835 [68.1 s]
Iteration 4 [1.1 s]: HR = 0.3151, NDCG = 0.1684, loss = 0.2748 [60.7 s]
Iteration 5 [0.9 s]: HR = 0.3209, NDCG = 0.1731, loss = 0.2720 [65.6 s]
Iteration 6 [0.8 s]: HR = 0.3224, NDCG = 0.1756, loss = 0.2681 [56.4 s]
Iteration 7 [0.8 s]: HR = 0.3216, NDCG = 0.1776, loss = 0.2662 [59.2 s]
Iteration 8 [0.9 s]: HR = 0.3239, NDCG = 0.1800, loss = 0.2657 [62.6 s]
Iteration 9 [0.8 s]: HR = 0.3324, NDCG = 0.1821, loss = 0.2657 [51.9 s]
Iteration 10 [0.9 s]: HR = 0.3309, NDCG = 0.1814, loss = 0.2642 [68.6 s]
Iteration 11 [1.0 s]: HR = 0.3340, NDCG = 0.1831, loss = 0.2624 [56.3 s]
Iteration 12 [1.1 s]: HR = 0.3305, NDCG = 0.1824, loss = 0.2604 [64.4 s]
Iteration 13 [1.1 s]: HR = 0.3347, NDCG = 0.1833, loss = 0.2580 [65.9 s]
Iteration 14 [1.8 s]: HR = 0.3401, NDCG = 0.1853, loss = 0.2539 [61.7 s]
Iteration 15 [0.8 s]: HR = 0.3409, NDCG = 0.1859, loss = 0.2493 [66.2 s]
Iteration 16 [0.9 s]: HR = 0.3486, NDCG = 0.1882, loss = 0.2431 [67.7 s]
Iteration 17 [0.9 s]: HR = 0.3556, NDCG = 0.1916, loss = 0.2360 [72.0 s]
Iteration 18 [0.9 s]: HR = 0.3625, NDCG = 0.1955, loss = 0.2275 [62.2 s]
Iteration 19 [1.2 s]: HR = 0.3722, NDCG = 0.2007, loss = 0.2190 [68.5 s]
Iteration 20 [1.2 s]: HR = 0.3961, NDCG = 0.2109, loss = 0.2087 [53.8 s]
Iteration 21 [1.1 s]: HR = 0.4204, NDCG = 0.2215, loss = 0.1989 [71.6 s]
Iteration 22 [1.1 s]: HR = 0.4508, NDCG = 0.2364, loss = 0.1896 [56.0 s]
Iteration 23 [1.0 s]: HR = 0.4925, NDCG = 0.2564, loss = 0.1811 [60.4 s]
Iteration 24 [0.8 s]: HR = 0.5183, NDCG = 0.2742, loss = 0.1721 [49.9 s]
Iteration 25 [0.8 s]: HR = 0.5322, NDCG = 0.2881, loss = 0.1640 [49.0 s]
Iteration 26 [0.8 s]: HR = 0.5380, NDCG = 0.3002, loss = 0.1562 [53.5 s]
Iteration 27 [0.9 s]: HR = 0.5449, NDCG = 0.3166, loss = 0.1488 [50.6 s]
Iteration 28 [0.7 s]: HR = 0.5469, NDCG = 0.3325, loss = 0.1412 [53.0 s]
Iteration 29 [1.1 s]: HR = 0.5465, NDCG = 0.3454, loss = 0.1347 [57.5 s]
Iteration 30 [0.8 s]: HR = 0.5445, NDCG = 0.3611, loss = 0.1281 [50.9 s]
Iteration 31 [0.8 s]: HR = 0.5457, NDCG = 0.3748, loss = 0.1218 [54.4 s]
Iteration 32 [0.9 s]: HR = 0.5442, NDCG = 0.3869, loss = 0.1156 [72.6 s]
Iteration 33 [1.0 s]: HR = 0.5430, NDCG = 0.4028, loss = 0.1100 [56.0 s]
Iteration 34 [0.8 s]: HR = 0.5418, NDCG = 0.4102, loss = 0.1044 [49.1 s]
Iteration 35 [0.8 s]: HR = 0.5372, NDCG = 0.4177, loss = 0.0993 [46.8 s]
Iteration 36 [0.7 s]: HR = 0.5334, NDCG = 0.4225, loss = 0.0942 [53.7 s]
Iteration 37 [1.0 s]: HR = 0.5322, NDCG = 0.4275, loss = 0.0895 [50.7 s]
Iteration 38 [0.7 s]: HR = 0.5287, NDCG = 0.4278, loss = 0.0847 [55.7 s]
Iteration 39 [0.9 s]: HR = 0.5222, NDCG = 0.4364, loss = 0.0812 [58.4 s]
Iteration 40 [0.8 s]: HR = 0.5137, NDCG = 0.4367, loss = 0.0772 [52.1 s]
Iteration 41 [0.7 s]: HR = 0.5218, NDCG = 0.4292, loss = 0.0756 [49.1 s]
Iteration 42 [0.8 s]: HR = 0.5133, NDCG = 0.4366, loss = 0.0713 [58.5 s]
Iteration 43 [0.8 s]: HR = 0.5013, NDCG = 0.4372, loss = 0.0656 [53.5 s]
Iteration 44 [0.8 s]: HR = 0.5102, NDCG = 0.4358, loss = 0.0627 [25.3 s]
Iteration 45 [0.5 s]: HR = 0.5083, NDCG = 0.4378, loss = 0.0583 [23.6 s]
Iteration 46 [0.5 s]: HR = 0.4913, NDCG = 0.4349, loss = 0.0549 [23.5 s]
Iteration 47 [0.5 s]: HR = 0.4890, NDCG = 0.4352, loss = 0.0543 [22.6 s]
Iteration 48 [0.5 s]: HR = 0.4983, NDCG = 0.4359, loss = 0.0491 [22.4 s]
Iteration 49 [0.5 s]: HR = 0.4960, NDCG = 0.4215, loss = 0.1596 [22.9 s]
End. Best Iteration 28:  HR = 0.5469, NDCG = 0.3325. 
