Init: HR = 0.1096, NDCG = 0.0517
Iteration 0 [882.1 s]: HR = 0.3873, NDCG = 0.2316, loss = 1.3769 [111.4 s]
Iteration 1 [847.1 s]: HR = 0.0437, NDCG = 0.0400, loss = 5.8363 [45.4 s]
Iteration 2 [771.7 s]: HR = 0.0626, NDCG = 0.0548, loss = 1.8423 [30.2 s]
Iteration 3 [516.2 s]: HR = 0.0450, NDCG = 0.0412, loss = 1.4523 [31.4 s]
Iteration 4 [521.3 s]: HR = 0.0475, NDCG = 0.0425, loss = 1.4470 [30.9 s]
Iteration 5 [520.0 s]: HR = 0.0517, NDCG = 0.0460, loss = 1.4382 [30.9 s]
Iteration 6 [521.1 s]: HR = 0.0472, NDCG = 0.0428, loss = 1.4348 [31.2 s]
Iteration 7 [520.0 s]: HR = 0.0417, NDCG = 0.0381, loss = 1.4342 [31.4 s]
Iteration 8 [520.6 s]: HR = 0.0490, NDCG = 0.0443, loss = 1.4331 [31.1 s]
Iteration 9 [521.9 s]: HR = 0.0450, NDCG = 0.0409, loss = 1.4330 [31.0 s]
Iteration 10 [565.9 s]: HR = 0.0485, NDCG = 0.0442, loss = 1.4351 [35.9 s]
Iteration 11 [527.2 s]: HR = 0.0447, NDCG = 0.0408, loss = 1.4329 [30.8 s]
Iteration 12 [522.4 s]: HR = 0.0447, NDCG = 0.0402, loss = 1.4326 [31.0 s]
Iteration 13 [532.9 s]: HR = 0.0432, NDCG = 0.0396, loss = 1.4335 [35.4 s]
Iteration 14 [547.5 s]: HR = 0.0449, NDCG = 0.0414, loss = 1.4322 [30.8 s]
Iteration 15 [554.0 s]: HR = 0.0474, NDCG = 0.0431, loss = 1.4317 [35.8 s]
Iteration 16 [554.6 s]: HR = 0.0454, NDCG = 0.0419, loss = 1.4319 [34.3 s]
Iteration 17 [536.2 s]: HR = 0.0457, NDCG = 0.0420, loss = 1.4322 [31.7 s]
Iteration 18 [521.5 s]: HR = 0.0460, NDCG = 0.0424, loss = 1.4316 [30.3 s]
Iteration 19 [521.2 s]: HR = 0.0603, NDCG = 0.0524, loss = 1.4318 [30.9 s]
Iteration 20 [520.6 s]: HR = 0.0498, NDCG = 0.0453, loss = 1.4467 [32.1 s]
Iteration 21 [520.2 s]: HR = 0.0535, NDCG = 0.0481, loss = 1.4342 [31.4 s]
Iteration 22 [520.2 s]: HR = 0.0561, NDCG = 0.0501, loss = 1.4366 [31.8 s]
Iteration 23 [520.6 s]: HR = 0.0526, NDCG = 0.0479, loss = 1.4351 [31.1 s]
Iteration 24 [519.9 s]: HR = 0.0593, NDCG = 0.0526, loss = 1.4364 [30.8 s]
Iteration 25 [521.5 s]: HR = 0.0548, NDCG = 0.0496, loss = 1.4335 [31.1 s]
Iteration 26 [521.5 s]: HR = 0.0508, NDCG = 0.0466, loss = 1.4327 [31.0 s]
Iteration 27 [520.8 s]: HR = 0.0505, NDCG = 0.0459, loss = 1.4344 [31.0 s]
Iteration 28 [520.8 s]: HR = 0.0543, NDCG = 0.0490, loss = 1.4333 [31.3 s]
Iteration 29 [522.4 s]: HR = 0.0502, NDCG = 0.0455, loss = 1.4328 [31.3 s]
Iteration 30 [522.4 s]: HR = 0.0518, NDCG = 0.0472, loss = 1.4339 [31.1 s]
Iteration 31 [522.9 s]: HR = 0.0517, NDCG = 0.0470, loss = 1.4332 [31.2 s]
Iteration 32 [523.7 s]: HR = 0.0526, NDCG = 0.0476, loss = 1.4341 [31.1 s]
Iteration 33 [523.9 s]: HR = 0.0508, NDCG = 0.0464, loss = 1.4326 [30.8 s]
Iteration 34 [524.6 s]: HR = 0.0520, NDCG = 0.0470, loss = 1.4341 [31.0 s]
Iteration 35 [524.8 s]: HR = 0.0507, NDCG = 0.0466, loss = 1.4319 [31.0 s]
Iteration 36 [525.1 s]: HR = 0.0522, NDCG = 0.0478, loss = 1.4316 [30.9 s]
Iteration 37 [526.4 s]: HR = 0.0512, NDCG = 0.0470, loss = 1.4319 [31.4 s]
Iteration 38 [526.7 s]: HR = 0.0498, NDCG = 0.0461, loss = 1.4306 [30.8 s]
Iteration 39 [526.8 s]: HR = 0.0503, NDCG = 0.0459, loss = 1.4313 [31.1 s]
Iteration 40 [531.2 s]: HR = 0.0508, NDCG = 0.0463, loss = 1.4317 [33.5 s]
Iteration 41 [528.8 s]: HR = 0.0513, NDCG = 0.0466, loss = 1.4322 [31.7 s]
Iteration 42 [530.1 s]: HR = 0.0507, NDCG = 0.0464, loss = 1.4322 [30.9 s]
Iteration 43 [528.3 s]: HR = 0.0502, NDCG = 0.0455, loss = 1.4317 [31.3 s]
Iteration 44 [604.2 s]: HR = 0.0493, NDCG = 0.0452, loss = 1.4316 [47.3 s]
Iteration 45 [602.4 s]: HR = 0.0500, NDCG = 0.0458, loss = 1.4315 [37.8 s]
Iteration 46 [575.5 s]: HR = 0.0498, NDCG = 0.0455, loss = 1.4318 [40.6 s]
