Init: HR = 0.0887, NDCG = 0.0409
Iteration 0 [2.1 s]: HR = 0.2788, NDCG = 0.1470, loss = 0.5826 [22.0 s]
Iteration 1 [0.8 s]: HR = 0.3263, NDCG = 0.1734, loss = 0.4634 [22.1 s]
Iteration 2 [0.8 s]: HR = 0.3320, NDCG = 0.1798, loss = 0.4416 [22.7 s]
Iteration 3 [0.8 s]: HR = 0.3290, NDCG = 0.1773, loss = 0.4278 [21.7 s]
Iteration 4 [0.8 s]: HR = 0.3297, NDCG = 0.1781, loss = 0.4280 [21.6 s]
Iteration 5 [0.8 s]: HR = 0.3344, NDCG = 0.1797, loss = 0.4263 [22.1 s]
Iteration 6 [0.8 s]: HR = 0.3355, NDCG = 0.1839, loss = 0.4171 [21.9 s]
Iteration 7 [0.8 s]: HR = 0.3371, NDCG = 0.1854, loss = 0.4072 [22.4 s]
Iteration 8 [0.8 s]: HR = 0.3432, NDCG = 0.1872, loss = 0.3965 [23.4 s]
Iteration 9 [0.9 s]: HR = 0.3502, NDCG = 0.1906, loss = 0.3824 [22.4 s]
Iteration 10 [0.8 s]: HR = 0.3633, NDCG = 0.1984, loss = 0.3678 [22.6 s]
Iteration 11 [0.8 s]: HR = 0.3668, NDCG = 0.2007, loss = 0.3728 [22.0 s]
Iteration 12 [0.8 s]: HR = 0.3868, NDCG = 0.2118, loss = 0.3706 [21.7 s]
Iteration 13 [0.8 s]: HR = 0.3710, NDCG = 0.2041, loss = 0.4061 [21.9 s]
Iteration 14 [0.8 s]: HR = 0.2827, NDCG = 0.1614, loss = 4.6710 [21.5 s]
Iteration 15 [0.8 s]: HR = 0.2410, NDCG = 0.1473, loss = 3.0747 [21.8 s]
Iteration 16 [0.8 s]: HR = 0.2337, NDCG = 0.1433, loss = 2.8778 [22.5 s]
Iteration 17 [0.9 s]: HR = 0.2272, NDCG = 0.1383, loss = 2.8112 [22.6 s]
Iteration 18 [0.8 s]: HR = 0.3020, NDCG = 0.1678, loss = 3.4418 [22.7 s]
Iteration 19 [0.9 s]: HR = 0.2896, NDCG = 0.1631, loss = 4.0363 [22.6 s]
Iteration 20 [0.8 s]: HR = 0.2588, NDCG = 0.1513, loss = 3.2147 [22.3 s]
Iteration 21 [0.8 s]: HR = 0.2588, NDCG = 0.1514, loss = 2.9217 [22.0 s]
Iteration 22 [0.8 s]: HR = 0.2090, NDCG = 0.1307, loss = 2.9449 [21.9 s]
Iteration 23 [0.8 s]: HR = 0.2167, NDCG = 0.1343, loss = 2.8533 [21.8 s]
Iteration 24 [0.8 s]: HR = 0.2187, NDCG = 0.1339, loss = 2.8153 [22.9 s]
Iteration 25 [0.8 s]: HR = 0.2202, NDCG = 0.1353, loss = 2.8033 [22.8 s]
Iteration 26 [0.9 s]: HR = 0.2611, NDCG = 0.1544, loss = 2.8296 [22.7 s]
Iteration 27 [0.8 s]: HR = 0.2406, NDCG = 0.1461, loss = 2.8317 [22.5 s]
Iteration 28 [0.8 s]: HR = 0.2815, NDCG = 0.1622, loss = 2.8955 [22.2 s]
Iteration 29 [0.8 s]: HR = 0.2511, NDCG = 0.1494, loss = 2.9393 [22.4 s]
Iteration 30 [0.8 s]: HR = 0.2314, NDCG = 0.1414, loss = 2.7304 [22.3 s]
Iteration 31 [0.8 s]: HR = 0.2522, NDCG = 0.1507, loss = 2.6813 [22.3 s]
Iteration 32 [0.8 s]: HR = 0.3189, NDCG = 0.1782, loss = 2.6829 [22.2 s]
Iteration 33 [0.8 s]: HR = 0.2094, NDCG = 0.1323, loss = 2.5292 [21.4 s]
Iteration 34 [0.8 s]: HR = 0.2063, NDCG = 0.1311, loss = 2.7762 [21.1 s]
Iteration 35 [0.8 s]: HR = 0.1948, NDCG = 0.1248, loss = 2.7556 [21.0 s]
Iteration 36 [0.8 s]: HR = 0.1836, NDCG = 0.1177, loss = 2.8524 [21.4 s]
Iteration 37 [0.8 s]: HR = 0.2194, NDCG = 0.1361, loss = 2.7364 [21.2 s]
Iteration 38 [0.8 s]: HR = 0.2433, NDCG = 0.1461, loss = 2.6578 [21.1 s]
Iteration 39 [0.8 s]: HR = 0.3621, NDCG = 0.1996, loss = 1.5545 [21.2 s]
Iteration 40 [0.8 s]: HR = 0.1311, NDCG = 0.0915, loss = 0.9642 [21.3 s]
Iteration 41 [0.8 s]: HR = 0.1257, NDCG = 0.0884, loss = 2.9565 [21.3 s]
Iteration 42 [0.8 s]: HR = 0.1169, NDCG = 0.0828, loss = 2.9763 [21.1 s]
Iteration 43 [0.8 s]: HR = 0.1057, NDCG = 0.0752, loss = 2.9778 [22.6 s]
Iteration 44 [0.8 s]: HR = 0.1126, NDCG = 0.0796, loss = 2.9886 [22.6 s]
Iteration 45 [0.8 s]: HR = 0.1145, NDCG = 0.0804, loss = 2.9750 [22.8 s]
Iteration 46 [0.9 s]: HR = 0.1288, NDCG = 0.0878, loss = 2.9714 [22.0 s]
Iteration 47 [0.8 s]: HR = 0.1327, NDCG = 0.0890, loss = 2.9626 [22.1 s]
Iteration 48 [0.8 s]: HR = 0.1373, NDCG = 0.0901, loss = 2.9646 [22.1 s]
Iteration 49 [0.8 s]: HR = 0.0860, NDCG = 0.0582, loss = 3.0050 [21.9 s]
End. Best Iteration 12:  HR = 0.3868, NDCG = 0.2118. 
